,Steady State,Prey Percentage,Predator Percentage
0,TRUE,0.12,0.88
1,FALSE,0,1
2,TRUE,0.13,0.87
3,TRUE,0.01,0.99
4,TRUE,0.11,0.89
5,TRUE,0.03,0.97
6,FALSE,0,1
7,TRUE,0.1,0.9
8,FALSE,0,1
9,FALSE,0,1
10,FALSE,0,1
11,FALSE,0,1
12,TRUE,0.27,0.73
13,FALSE,0,1
14,FALSE,0,1
15,FALSE,0,1
16,FALSE,0,1
17,TRUE,0.03,0.97
18,TRUE,0.16,0.84
19,FALSE,0,1
20,TRUE,0.05,0.95
21,TRUE,0.15,0.85
22,TRUE,0.04,0.96
23,TRUE,0.02,0.98
24,TRUE,0.18,0.82
25,FALSE,0,1
26,FALSE,0,1
27,TRUE,0.07,0.93
28,TRUE,0.03,0.97
29,TRUE,0.1,0.9
30,TRUE,0.05,0.95
31,TRUE,0.03,0.97
32,TRUE,0.45,0.55
33,TRUE,0.03,0.97
34,TRUE,0.1,0.9
35,TRUE,0.16,0.84
36,TRUE,0.09,0.91
37,FALSE,0,1
38,FALSE,0,1
39,FALSE,0,1
40,TRUE,0.23,0.77
41,TRUE,0.09,0.91
42,TRUE,0.12,0.88
43,FALSE,0,1
44,FALSE,0,1
45,TRUE,0.08,0.92
46,TRUE,0.11,0.89
47,TRUE,0.17,0.83
48,TRUE,0.19,0.81
49,FALSE,0,1
50,TRUE,0.11,0.89
51,FALSE,0,1
52,TRUE,0.09,0.91
53,FALSE,0,1
54,FALSE,0,1
55,TRUE,0.09,0.91
56,TRUE,0.05,0.95
57,FALSE,0,1
58,FALSE,0,1
59,TRUE,0.08,0.92
60,TRUE,0.04,0.96
61,FALSE,0,1
62,TRUE,0.11,0.89
63,TRUE,0.14,0.86
64,TRUE,0.1,0.9
65,FALSE,0,1
66,TRUE,0.04,0.96
67,TRUE,0.26,0.74
68,TRUE,0.25,0.75
69,FALSE,0,1
70,FALSE,0,1
71,TRUE,0.13,0.87
72,FALSE,0,1
73,FALSE,0,1
74,TRUE,0.03,0.97
75,FALSE,0,1
76,TRUE,0.31,0.69
77,TRUE,0.13,0.87
78,FALSE,0,1
79,TRUE,0.26,0.74
80,FALSE,0,1
81,FALSE,0,1
82,FALSE,0,1
83,FALSE,0,1
84,TRUE,0.14,0.86
85,FALSE,0,1
86,FALSE,0,1
87,FALSE,0,1
88,TRUE,0,1
89,FALSE,0,1
90,TRUE,0.05,0.95
91,TRUE,0.06,0.94
92,FALSE,0,1
93,TRUE,0.08,0.92
94,FALSE,0,1
95,TRUE,0.02,0.98
96,TRUE,0.13,0.87
97,TRUE,0.19,0.81
98,FALSE,0,1
99,FALSE,0,1
Rep up:,0.56,0.0639,0.9361
